net	object_type	full_name	via_master	bbox	lower_layer	upper_layer
VDD	via	VIA_SA_15007		{599.5250 839.2250} {600.4750 839.3350}	M1	M2
VDD	via	VIA_S_153107		{579.9450 839.2000} {580.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15006		{559.5250 839.2250} {560.4750 839.3350}	M1	M2
VDD	via	VIA_S_153106		{539.9450 839.2000} {540.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15005		{519.5250 839.2250} {520.4750 839.3350}	M1	M2
VDD	via	VIA_S_153105		{499.9450 839.2000} {500.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15004		{479.5250 839.2250} {480.4750 839.3350}	M1	M2
VDD	via	VIA_S_153104		{459.9450 839.2000} {460.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15003		{439.5250 839.2250} {440.4750 839.3350}	M1	M2
VDD	via	VIA_S_153103		{419.9450 839.2000} {420.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15002		{399.5250 839.2250} {400.4750 839.3350}	M1	M2
VDD	via	VIA_S_153102		{379.9450 839.2000} {380.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15001		{359.5250 839.2250} {360.4750 839.3350}	M1	M2
VDD	via	VIA_S_153101		{339.9450 839.2000} {340.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15000		{319.5250 839.2250} {320.4750 839.3350}	M1	M2
VDD	via	VIA_S_153100		{299.9450 839.2000} {300.0550 839.3600}	M1	M2
VDD	via	VIA_SA_14999		{279.5250 839.2250} {280.4750 839.3350}	M1	M2
VDD	via	VIA_S_153099		{259.9450 839.2000} {260.0550 839.3600}	M1	M2
VDD	via	VIA_SA_14998		{239.5250 839.2250} {240.4750 839.3350}	M1	M2
VDD	via	VIA_S_153098		{219.9450 839.2000} {220.0550 839.3600}	M1	M2
VDD	via	VIA_SA_14997		{199.5250 839.2250} {200.4750 839.3350}	M1	M2
VDD	via	VIA_S_153097		{179.9450 839.2000} {180.0550 839.3600}	M1	M2
VDD	via	VIA_SA_14996		{159.5250 839.2250} {160.4750 839.3350}	M1	M2
VDD	via	VIA_S_153096		{139.9450 839.2000} {140.0550 839.3600}	M1	M2
VDD	via	VIA_SA_14995		{119.5250 839.2250} {120.4750 839.3350}	M1	M2
VDD	via	VIA_S_153095		{99.9450 839.2000} {100.0550 839.3600}	M1	M2
VDD	via	VIA_SA_14994		{79.5250 839.2250} {80.4750 839.3350}	M1	M2
VDD	via	VIA_S_153094		{59.9450 839.2000} {60.0550 839.3600}	M1	M2
VDD	via	VIA_SA_14993		{39.5250 839.2250} {40.4750 839.3350}	M1	M2
VDD	via	VIA_SA_14992		{839.5250 835.8810} {840.4750 835.9910}	M1	M2
VDD	via	VIA_S_153093		{819.9450 835.8560} {820.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14991		{799.5250 835.8810} {800.4750 835.9910}	M1	M2
VDD	via	VIA_S_153092		{779.9450 835.8560} {780.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14990		{759.5250 835.8810} {760.4750 835.9910}	M1	M2
VDD	via	VIA_S_153091		{739.9450 835.8560} {740.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14989		{719.5250 835.8810} {720.4750 835.9910}	M1	M2
VDD	via	VIA_S_153090		{699.9450 835.8560} {700.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14988		{679.5250 835.8810} {680.4750 835.9910}	M1	M2
VDD	via	VIA_S_153089		{659.9450 835.8560} {660.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14987		{639.5250 835.8810} {640.4750 835.9910}	M1	M2
VDD	via	VIA_S_153088		{619.9450 835.8560} {620.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14986		{599.5250 835.8810} {600.4750 835.9910}	M1	M2
VDD	via	VIA_S_153087		{579.9450 835.8560} {580.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14985		{559.5250 835.8810} {560.4750 835.9910}	M1	M2
VDD	via	VIA_S_153086		{539.9450 835.8560} {540.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14984		{519.5250 835.8810} {520.4750 835.9910}	M1	M2
VDD	via	VIA_S_153085		{499.9450 835.8560} {500.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14983		{479.5250 835.8810} {480.4750 835.9910}	M1	M2
VDD	via	VIA_S_153084		{459.9450 835.8560} {460.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14982		{439.5250 835.8810} {440.4750 835.9910}	M1	M2
VDD	via	VIA_S_153083		{419.9450 835.8560} {420.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14981		{399.5250 835.8810} {400.4750 835.9910}	M1	M2
VDD	via	VIA_S_153082		{379.9450 835.8560} {380.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14980		{359.5250 835.8810} {360.4750 835.9910}	M1	M2
VDD	via	VIA_S_153081		{339.9450 835.8560} {340.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14979		{319.5250 835.8810} {320.4750 835.9910}	M1	M2
VDD	via	VIA_S_153080		{299.9450 835.8560} {300.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14978		{279.5250 835.8810} {280.4750 835.9910}	M1	M2
VDD	via	VIA_S_153079		{259.9450 835.8560} {260.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14977		{239.5250 835.8810} {240.4750 835.9910}	M1	M2
VDD	via	VIA_S_153078		{219.9450 835.8560} {220.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14976		{199.5250 835.8810} {200.4750 835.9910}	M1	M2
VDD	via	VIA_S_153077		{179.9450 835.8560} {180.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14975		{159.5250 835.8810} {160.4750 835.9910}	M1	M2
VDD	via	VIA_S_153076		{139.9450 835.8560} {140.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14974		{119.5250 835.8810} {120.4750 835.9910}	M1	M2
VDD	via	VIA_S_153075		{99.9450 835.8560} {100.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14973		{79.5250 835.8810} {80.4750 835.9910}	M1	M2
VDD	via	VIA_S_153074		{59.9450 835.8560} {60.0550 836.0160}	M1	M2
VDD	via	VIA_SA_14972		{39.5250 835.8810} {40.4750 835.9910}	M1	M2
VDD	via	VIA_SA_14971		{839.5250 832.5370} {840.4750 832.6470}	M1	M2
VDD	via	VIA_S_153073		{819.9450 832.5120} {820.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14970		{799.5250 832.5370} {800.4750 832.6470}	M1	M2
VDD	via	VIA_S_153072		{779.9450 832.5120} {780.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14969		{759.5250 832.5370} {760.4750 832.6470}	M1	M2
VDD	via	VIA_S_153071		{739.9450 832.5120} {740.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14968		{719.5250 832.5370} {720.4750 832.6470}	M1	M2
VDD	via	VIA_S_153070		{699.9450 832.5120} {700.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14967		{679.5250 832.5370} {680.4750 832.6470}	M1	M2
VDD	via	VIA_S_153069		{659.9450 832.5120} {660.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14966		{639.5250 832.5370} {640.4750 832.6470}	M1	M2
VDD	via	VIA_S_153068		{619.9450 832.5120} {620.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14965		{599.5250 832.5370} {600.4750 832.6470}	M1	M2
VDD	via	VIA_S_153067		{579.9450 832.5120} {580.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14964		{559.5250 832.5370} {560.4750 832.6470}	M1	M2
VDD	via	VIA_S_153066		{539.9450 832.5120} {540.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14963		{519.5250 832.5370} {520.4750 832.6470}	M1	M2
VDD	via	VIA_S_153065		{499.9450 832.5120} {500.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14962		{479.5250 832.5370} {480.4750 832.6470}	M1	M2
VDD	via	VIA_S_153064		{459.9450 832.5120} {460.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14961		{439.5250 832.5370} {440.4750 832.6470}	M1	M2
VDD	via	VIA_S_153063		{419.9450 832.5120} {420.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14960		{399.5250 832.5370} {400.4750 832.6470}	M1	M2
VDD	via	VIA_S_153062		{379.9450 832.5120} {380.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14959		{359.5250 832.5370} {360.4750 832.6470}	M1	M2
VDD	via	VIA_S_153061		{339.9450 832.5120} {340.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14958		{319.5250 832.5370} {320.4750 832.6470}	M1	M2
VDD	via	VIA_S_153060		{299.9450 832.5120} {300.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14957		{279.5250 832.5370} {280.4750 832.6470}	M1	M2
VDD	via	VIA_S_153059		{259.9450 832.5120} {260.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14956		{239.5250 832.5370} {240.4750 832.6470}	M1	M2
VDD	via	VIA_S_153058		{219.9450 832.5120} {220.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14955		{199.5250 832.5370} {200.4750 832.6470}	M1	M2
VDD	via	VIA_S_153057		{179.9450 832.5120} {180.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14954		{159.5250 832.5370} {160.4750 832.6470}	M1	M2
VDD	via	VIA_S_153056		{139.9450 832.5120} {140.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14953		{119.5250 832.5370} {120.4750 832.6470}	M1	M2
VDD	via	VIA_S_153055		{99.9450 832.5120} {100.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14952		{79.5250 832.5370} {80.4750 832.6470}	M1	M2
VDD	via	VIA_S_153054		{59.9450 832.5120} {60.0550 832.6720}	M1	M2
VDD	via	VIA_SA_14951		{39.5250 832.5370} {40.4750 832.6470}	M1	M2
VDD	via	VIA_SA_14950		{839.5250 829.1930} {840.4750 829.3030}	M1	M2
VDD	via	VIA_S_153053		{819.9450 829.1680} {820.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14949		{799.5250 829.1930} {800.4750 829.3030}	M1	M2
VDD	via	VIA_S_153052		{779.9450 829.1680} {780.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14948		{759.5250 829.1930} {760.4750 829.3030}	M1	M2
VDD	via	VIA_S_153051		{739.9450 829.1680} {740.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14947		{719.5250 829.1930} {720.4750 829.3030}	M1	M2
VDD	via	VIA_S_153050		{699.9450 829.1680} {700.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14946		{679.5250 829.1930} {680.4750 829.3030}	M1	M2
VDD	via	VIA_S_153049		{659.9450 829.1680} {660.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14945		{639.5250 829.1930} {640.4750 829.3030}	M1	M2
VDD	via	VIA_S_153048		{619.9450 829.1680} {620.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14944		{599.5250 829.1930} {600.4750 829.3030}	M1	M2
VDD	via	VIA_S_153047		{579.9450 829.1680} {580.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14943		{559.5250 829.1930} {560.4750 829.3030}	M1	M2
VDD	via	VIA_S_153046		{539.9450 829.1680} {540.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14942		{519.5250 829.1930} {520.4750 829.3030}	M1	M2
VDD	via	VIA_S_153045		{499.9450 829.1680} {500.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14941		{479.5250 829.1930} {480.4750 829.3030}	M1	M2
VDD	via	VIA_S_153044		{459.9450 829.1680} {460.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14940		{439.5250 829.1930} {440.4750 829.3030}	M1	M2
VDD	via	VIA_S_153043		{419.9450 829.1680} {420.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14939		{399.5250 829.1930} {400.4750 829.3030}	M1	M2
VDD	via	VIA_S_153042		{379.9450 829.1680} {380.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14938		{359.5250 829.1930} {360.4750 829.3030}	M1	M2
VDD	via	VIA_S_153041		{339.9450 829.1680} {340.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14937		{319.5250 829.1930} {320.4750 829.3030}	M1	M2
VDD	via	VIA_S_153040		{299.9450 829.1680} {300.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14936		{279.5250 829.1930} {280.4750 829.3030}	M1	M2
VDD	via	VIA_S_153039		{259.9450 829.1680} {260.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14935		{239.5250 829.1930} {240.4750 829.3030}	M1	M2
VDD	via	VIA_S_153038		{219.9450 829.1680} {220.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14934		{199.5250 829.1930} {200.4750 829.3030}	M1	M2
VDD	via	VIA_S_153037		{179.9450 829.1680} {180.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14933		{159.5250 829.1930} {160.4750 829.3030}	M1	M2
VDD	via	VIA_S_153036		{139.9450 829.1680} {140.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14932		{119.5250 829.1930} {120.4750 829.3030}	M1	M2
VDD	via	VIA_S_153035		{99.9450 829.1680} {100.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14931		{79.5250 829.1930} {80.4750 829.3030}	M1	M2
VDD	via	VIA_S_153034		{59.9450 829.1680} {60.0550 829.3280}	M1	M2
VDD	via	VIA_SA_14930		{39.5250 829.1930} {40.4750 829.3030}	M1	M2
VDD	via	VIA_SA_14929		{839.5250 825.8490} {840.4750 825.9590}	M1	M2
VDD	via	VIA_S_153033		{819.9450 825.8240} {820.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14928		{799.5250 825.8490} {800.4750 825.9590}	M1	M2
VDD	via	VIA_S_153032		{779.9450 825.8240} {780.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14927		{759.5250 825.8490} {760.4750 825.9590}	M1	M2
VDD	via	VIA_S_153031		{739.9450 825.8240} {740.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14926		{719.5250 825.8490} {720.4750 825.9590}	M1	M2
VDD	via	VIA_S_153030		{699.9450 825.8240} {700.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14925		{679.5250 825.8490} {680.4750 825.9590}	M1	M2
VDD	via	VIA_S_153029		{659.9450 825.8240} {660.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14924		{639.5250 825.8490} {640.4750 825.9590}	M1	M2
VDD	via	VIA_S_153028		{619.9450 825.8240} {620.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14923		{599.5250 825.8490} {600.4750 825.9590}	M1	M2
VDD	via	VIA_S_153027		{579.9450 825.8240} {580.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14922		{559.5250 825.8490} {560.4750 825.9590}	M1	M2
VDD	via	VIA_S_153026		{539.9450 825.8240} {540.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14921		{519.5250 825.8490} {520.4750 825.9590}	M1	M2
VDD	via	VIA_S_153025		{499.9450 825.8240} {500.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14920		{479.5250 825.8490} {480.4750 825.9590}	M1	M2
VDD	via	VIA_S_153024		{459.9450 825.8240} {460.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14919		{439.5250 825.8490} {440.4750 825.9590}	M1	M2
VDD	via	VIA_S_153023		{419.9450 825.8240} {420.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14918		{399.5250 825.8490} {400.4750 825.9590}	M1	M2
VDD	via	VIA_S_153022		{379.9450 825.8240} {380.0550 825.9840}	M1	M2
VDD	via	VIA_SA_14917		{359.5250 825.8490} {360.4750 825.9590}	M1	M2
