net	object_type	full_name	layer	shape_use	bbox
VDD	shape	PATH_11_488	M1	lib_cell_pin_connect	{20.0000 835.9060} {851.2880 835.9660}
VDD	shape	PATH_11_486	M1	lib_cell_pin_connect	{20.0000 832.5620} {851.2880 832.6220}
VDD	shape	PATH_11_484	M1	lib_cell_pin_connect	{20.0000 829.2180} {851.2880 829.2780}
VDD	shape	PATH_11_482	M1	lib_cell_pin_connect	{20.0000 825.8740} {851.2880 825.9340}
VDD	shape	PATH_11_480	M1	lib_cell_pin_connect	{20.0000 822.5300} {851.2880 822.5900}
VDD	shape	PATH_11_478	M1	lib_cell_pin_connect	{20.0000 819.1860} {851.2880 819.2460}
VDD	shape	PATH_11_476	M1	lib_cell_pin_connect	{20.0000 815.8420} {851.2880 815.9020}
VDD	shape	PATH_11_474	M1	lib_cell_pin_connect	{20.0000 812.4980} {851.2880 812.5580}
VDD	shape	PATH_11_472	M1	lib_cell_pin_connect	{20.0000 809.1540} {851.2880 809.2140}
VDD	shape	PATH_11_470	M1	lib_cell_pin_connect	{20.0000 805.8100} {851.2880 805.8700}
VDD	shape	PATH_11_468	M1	lib_cell_pin_connect	{20.0000 802.4660} {851.2880 802.5260}
VSS	shape	PATH_23_51	M7	stripe	{10.0000 827.5000} {861.2880 828.5000}
VSS	shape	PATH_13_66428	M2	stripe	{849.9000 10.0000} {850.1000 860.9840}
VSS	shape	PATH_13_66426	M2	stripe	{829.9000 10.0000} {830.1000 860.9840}
VSS	shape	PATH_25_51	M8	stripe	{819.5000 10.0000} {820.5000 860.9840}
VSS	shape	PATH_13_66424	M2	stripe	{809.9000 10.0000} {810.1000 860.9840}
VSS	shape	PATH_13_66422	M2	stripe	{789.9000 10.0000} {790.1000 860.9840}
VSS	shape	PATH_25_49	M8	stripe	{779.5000 10.0000} {780.5000 860.9840}
VSS	shape	PATH_13_66420	M2	stripe	{769.9000 10.0000} {770.1000 860.9840}
VSS	shape	PATH_13_66418	M2	stripe	{749.9000 10.0000} {750.1000 860.9840}
VSS	shape	PATH_25_47	M8	stripe	{739.5000 10.0000} {740.5000 860.9840}
VSS	shape	PATH_13_66416	M2	stripe	{729.9000 10.0000} {730.1000 860.9840}
VSS	shape	PATH_13_66414	M2	stripe	{709.9000 10.0000} {710.1000 860.9840}
VSS	shape	PATH_25_45	M8	stripe	{699.5000 10.0000} {700.5000 860.9840}
VSS	shape	PATH_13_66412	M2	stripe	{689.9000 10.0000} {690.1000 860.9840}
VSS	shape	PATH_13_66410	M2	stripe	{669.9000 10.0000} {670.1000 860.9840}
VSS	shape	PATH_25_43	M8	stripe	{659.5000 10.0000} {660.5000 860.9840}
VSS	shape	PATH_13_66408	M2	stripe	{649.9000 10.0000} {650.1000 860.9840}
VSS	shape	PATH_13_66406	M2	stripe	{629.9000 10.0000} {630.1000 860.9840}
VSS	shape	PATH_25_41	M8	stripe	{619.5000 10.0000} {620.5000 860.9840}
VSS	shape	PATH_13_66404	M2	stripe	{609.9000 10.0000} {610.1000 860.9840}
VSS	shape	PATH_13_66402	M2	stripe	{589.9000 10.0000} {590.1000 860.9840}
VSS	shape	PATH_25_39	M8	stripe	{579.5000 10.0000} {580.5000 860.9840}
VSS	shape	PATH_13_66400	M2	stripe	{569.9000 10.0000} {570.1000 860.9840}
VSS	shape	PATH_13_66398	M2	stripe	{549.9000 10.0000} {550.1000 860.9840}
VSS	shape	PATH_25_37	M8	stripe	{539.5000 10.0000} {540.5000 860.9840}
VSS	shape	PATH_13_66396	M2	stripe	{529.9000 10.0000} {530.1000 860.9840}
VSS	shape	PATH_13_66394	M2	stripe	{509.9000 10.0000} {510.1000 860.9840}
VSS	shape	PATH_25_35	M8	stripe	{499.5000 10.0000} {500.5000 860.9840}
VSS	shape	PATH_13_66392	M2	stripe	{489.9000 10.0000} {490.1000 860.9840}
VSS	shape	PATH_13_66390	M2	stripe	{469.9000 10.0000} {470.1000 860.9840}
VSS	shape	PATH_25_33	M8	stripe	{459.5000 10.0000} {460.5000 860.9840}
VSS	shape	PATH_13_66388	M2	stripe	{449.9000 10.0000} {450.1000 860.9840}
VSS	shape	PATH_13_105	M2	stripe	{429.9000 10.0000} {430.1000 860.9840}
VSS	shape	PATH_25_31	M8	stripe	{419.5000 10.0000} {420.5000 860.9840}
VSS	shape	PATH_13_103	M2	stripe	{409.9000 10.0000} {410.1000 860.9840}
VSS	shape	PATH_13_101	M2	stripe	{389.9000 10.0000} {390.1000 860.9840}
VSS	shape	PATH_25_29	M8	stripe	{379.5000 10.0000} {380.5000 860.9840}
VSS	shape	PATH_13_99	M2	stripe	{369.9000 10.0000} {370.1000 860.9840}
VSS	shape	PATH_13_97	M2	stripe	{349.9000 10.0000} {350.1000 860.9840}
VSS	shape	PATH_25_27	M8	stripe	{339.5000 10.0000} {340.5000 860.9840}
VSS	shape	PATH_13_95	M2	stripe	{329.9000 10.0000} {330.1000 860.9840}
VSS	shape	PATH_13_93	M2	stripe	{309.9000 10.0000} {310.1000 860.9840}
VSS	shape	PATH_25_25	M8	stripe	{299.5000 10.0000} {300.5000 860.9840}
VSS	shape	PATH_13_91	M2	stripe	{289.9000 10.0000} {290.1000 860.9840}
VSS	shape	PATH_13_89	M2	stripe	{269.9000 10.0000} {270.1000 860.9840}
VSS	shape	PATH_25_23	M8	stripe	{259.5000 10.0000} {260.5000 860.9840}
VSS	shape	PATH_13_87	M2	stripe	{249.9000 10.0000} {250.1000 860.9840}
VSS	shape	PATH_13_85	M2	stripe	{229.9000 10.0000} {230.1000 860.9840}
VSS	shape	PATH_25_21	M8	stripe	{219.5000 10.0000} {220.5000 860.9840}
VSS	shape	PATH_13_83	M2	stripe	{209.9000 10.0000} {210.1000 860.9840}
VSS	shape	PATH_13_81	M2	stripe	{189.9000 10.0000} {190.1000 860.9840}
VSS	shape	PATH_25_19	M8	stripe	{179.5000 10.0000} {180.5000 860.9840}
VSS	shape	PATH_13_79	M2	stripe	{169.9000 10.0000} {170.1000 860.9840}
VSS	shape	PATH_13_77	M2	stripe	{149.9000 10.0000} {150.1000 860.9840}
VSS	shape	PATH_25_17	M8	stripe	{139.5000 10.0000} {140.5000 860.9840}
VSS	shape	PATH_13_75	M2	stripe	{129.9000 10.0000} {130.1000 860.9840}
VSS	shape	PATH_13_73	M2	stripe	{109.9000 10.0000} {110.1000 860.9840}
VSS	shape	PATH_25_15	M8	stripe	{99.5000 10.0000} {100.5000 860.9840}
VSS	shape	PATH_13_71	M2	stripe	{89.9000 10.0000} {90.1000 860.9840}
VSS	shape	PATH_13_69	M2	stripe	{69.9000 10.0000} {70.1000 860.9840}
VSS	shape	PATH_25_13	M8	stripe	{59.5000 10.0000} {60.5000 860.9840}
VSS	shape	PATH_13_67	M2	stripe	{49.9000 10.0000} {50.1000 860.9840}
VSS	shape	PATH_13_65	M2	stripe	{29.9000 10.0000} {30.1000 860.9840}
VSS	shape	PATH_25_11	M8	ring	{859.2880 0.0000} {861.2880 870.9840}
VSS	shape	PATH_25_10	M8	ring	{10.0000 0.0000} {12.0000 870.9840}
VSS	shape	PATH_11_495	M1	lib_cell_pin_connect	{20.0000 847.6100} {851.2880 847.6700}
VSS	shape	PATH_11_493	M1	lib_cell_pin_connect	{20.0000 844.2660} {851.2880 844.3260}
VSS	shape	PATH_11_491	M1	lib_cell_pin_connect	{20.0000 840.9220} {851.2880 840.9820}
VSS	shape	PATH_11_489	M1	lib_cell_pin_connect	{20.0000 837.5780} {851.2880 837.6380}
VSS	shape	PATH_11_487	M1	lib_cell_pin_connect	{20.0000 834.2340} {851.2880 834.2940}
VSS	shape	PATH_11_485	M1	lib_cell_pin_connect	{20.0000 830.8900} {851.2880 830.9500}
VSS	shape	PATH_11_483	M1	lib_cell_pin_connect	{20.0000 827.5460} {851.2880 827.6060}
VSS	shape	PATH_11_481	M1	lib_cell_pin_connect	{20.0000 824.2020} {851.2880 824.2620}
VSS	shape	PATH_11_479	M1	lib_cell_pin_connect	{20.0000 820.8580} {851.2880 820.9180}
VSS	shape	PATH_11_477	M1	lib_cell_pin_connect	{20.0000 817.5140} {851.2880 817.5740}
VSS	shape	PATH_11_475	M1	lib_cell_pin_connect	{20.0000 814.1700} {851.2880 814.2300}
VSS	shape	PATH_11_473	M1	lib_cell_pin_connect	{20.0000 810.8260} {851.2880 810.8860}
VSS	shape	PATH_11_471	M1	lib_cell_pin_connect	{20.0000 807.4820} {851.2880 807.5420}
VSS	shape	PATH_11_469	M1	lib_cell_pin_connect	{20.0000 804.1380} {851.2880 804.1980}
VSS	shape	PATH_11_467	M1	lib_cell_pin_connect	{20.0000 800.7940} {851.2880 800.8540}
