label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_via_10	1	VIA_SA_15713	via		{716.4090 543.8890} {716.6710 543.9990}	n2925			detail_route	VIA12SQ_C	n2925
offgrid_error_11	0	11	drc_error		{742.2790 543.8430} {742.3290 544.0450}	NA	NA	NA	NA	NA	NA
drc_object_11	1	n6821	net		{742.1270 539.1770} {752.1490 547.6470}						
near_cell_11	1	u_ibex_top_u_ibex_core_id_stage_i_id_fsm_q_reg	cell		{743.4050 543.3060} {747.8910 545.1090}		DFFARX1_HVT	saed32hvt_tt.modified_lef/DFFARX1_HVT			
near_cell_11	2	u_ibex_top_u_ibex_core_id_stage_i_controller_i_store_err_q_reg	cell		{739.9090 544.9070} {744.3950 546.7100}		DFFARX1_HVT	saed32hvt_tt.modified_lef/DFFARX1_HVT			
near_cell_11	3	U6502	cell		{742.4930 541.5630} {743.7860 543.3660}		NAND3X0_HVT	saed32hvt_tt.modified_lef/NAND3X0_HVT			
near_pin_11	1	U8321/A1	pin	M1 CO	{741.9450 543.9670} {742.1170 544.1510}	ZBUF_160_575					
near_pin_11	2	U8321/VSS	pin	M1 CO	{741.6960 543.3060} {743.2160 543.7230}	VSS					
near_shape_11	1	PATH_17_89914	shape	M4	{742.2760 521.5720} {742.3320 550.2040}	ZBUF_146_653			detail_route		ZBUF_146_653
near_shape_11	2	PATH_13_104416	shape	M2	{742.2760 541.3320} {742.3320 543.9720}	n6821			detail_route		n6821
offgrid_error_12	0	12	drc_error		{761.2790 559.3470} {761.3290 559.5490}	NA	NA	NA	NA	NA	NA
drc_object_12	1	n4612	net		{758.9990 558.5050} {761.3590 560.2630}						
near_cell_12	1	U4936	cell		{758.6050 556.6820} {760.0510 558.4850}		NAND4X0_HVT	saed32hvt_tt.modified_lef/NAND4X0_HVT			
near_cell_12	2	U5114	cell		{762.4050 560.0260} {764.1550 561.8430}		AO21X1_HVT	saed32hvt_tt.modified_lef/AO21X1_HVT			
near_cell_12	3	U5426	cell		{759.9730 560.0260} {761.7230 561.8430}		AO21X1_HVT	saed32hvt_tt.modified_lef/AO21X1_HVT			
near_cell_12	4	U7598	cell		{762.4050 556.6820} {764.6110 558.4990}		AO221X2_HVT	saed32hvt_tt.modified_lef/AO221X2_HVT			
