idx	error	via	via_def	lower	upper	origin	bbox	array_size	rows	cols	shape_use	net
8	7	VIA_S_143548	VIA12SQ_C	M1	M2	776.6560 311.9920	{776.6010 311.9370} {776.7110 312.0470}	1 1	1	1	detail_route	n4111
8	7	VIA_SA_15704	VIA12SQ_C	M1	M2	776.5040 315.3360	{776.4490 315.2050} {776.5590 315.4670}	2 1	2	1	detail_route	n4111
8	7	VIA_S_143546	VIA12SQ_C	M1	M2	774.0720 313.3600	{774.0170 313.3050} {774.1270 313.4150}	1 1	1	1	detail_route	n4111
9	8	VIA_SA_15706	VIA12SQ_C	M1	M2	780.3040 309.8640	{780.2490 309.7330} {780.3590 309.9950}	2 1	2	1	detail_route	n4111
9	8	VIA_SA_15705	VIA12SQ_C	M1	M2	778.4800 315.3360	{778.4250 315.2050} {778.5350 315.4670}	2 1	2	1	detail_route	n4111
9	8	VIA_S_143548	VIA12SQ_C	M1	M2	776.6560 311.9920	{776.6010 311.9370} {776.7110 312.0470}	1 1	1	1	detail_route	n4111
9	8	VIA_SA_15704	VIA12SQ_C	M1	M2	776.5040 315.3360	{776.4490 315.2050} {776.5590 315.4670}	2 1	2	1	detail_route	n4111
9	8	VIA_S_143546	VIA12SQ_C	M1	M2	774.0720 313.3600	{774.0170 313.3050} {774.1270 313.4150}	1 1	1	1	detail_route	n4111
10	9	VIA_S_834723	VIA12SQ_C	M1	M2	790.6400 318.5280	{790.5850 318.4730} {790.6950 318.5830}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
10	9	VIA_S_834721	VIA12SQ_C	M1	M2	795.0480 323.6960	{794.9930 323.6410} {795.1030 323.7510}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
10	9	VIA_SA_15728	VIA12SQ_C	M1	M2	789.2720 315.3360	{789.2170 315.2050} {789.3270 315.4670}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
10	9	VIA_S_834716	VIA12SQ_C	M1	M2	788.2080 321.7200	{788.1530 321.6650} {788.2630 321.7750}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
11	10	VIA_S_155367	VIA12SQ_C	M1	M2	775.1360 313.5120	{775.0810 313.4570} {775.1910 313.5670}	1 1	1	1	detail_route	n6576
11	10	VIA_S_155365	VIA12SQ_C	M1	M2	774.3760 313.3600	{774.3210 313.3050} {774.4310 313.4150}	1 1	1	1	detail_route	n6576
11	10	VIA_S_155363	VIA12SQ_C	M1	M2	771.3360 313.3600	{771.2810 313.3050} {771.3910 313.4150}	1 1	1	1	detail_route	n6576
11	10	VIA_S_155362	VIA12SQ_C	M1	M2	770.7280 317.7680	{770.6730 317.7130} {770.7830 317.8230}	1 1	1	1	detail_route	n6576
11	10	VIA_S_155359	VIA12SQ_C	M1	M2	769.8160 313.3600	{769.7610 313.3050} {769.8710 313.4150}	1 1	1	1	detail_route	n6576
11	10	VIA_S_155356	VIA12SQ_C	M1	M2	766.4720 327.4960	{766.4170 327.4410} {766.5270 327.5510}	1 1	1	1	detail_route	n6576
11	10	VIA_S_155355	VIA12SQ_C	M1	M2	750.6640 325.2160	{750.6090 325.1610} {750.7190 325.2710}	1 1	1	1	detail_route	n6576
11	10	VIA_SA_15711	VIA12SQ_C	M1	M2	736.5280 332.0560	{736.4730 331.9250} {736.5830 332.1870}	2 1	2	1	detail_route	n6576
11	10	VIA_S_155353	VIA12SQ_C	M1	M2	735.7680 331.9040	{735.7130 331.8490} {735.8230 331.9590}	1 1	1	1	detail_route	n6576
