label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_cell_5	4	U3114	cell		{777.9090 310.8270} {779.3450 312.6300}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_5	5	U4191	cell		{777.9080 307.4690} {780.1350 309.2860}		OA222X1_HVT	saed32hvt_tt.modified_lef/OA222X1_HVT			
near_pin_5	1	U44775/A1	pin	M1 CO	{780.4910 309.8870} {780.6630 310.0710}	n2966					
near_pin_5	2	U44775/VSS	pin	M1 CO	{779.2400 309.2260} {780.9120 309.6430}	VSS					
near_shape_5	1	PATH_25_49	shape	M8	{779.5000 10.0000} {780.5000 860.9840}	VSS			stripe		VSS
near_shape_5	2	PATH_13_102	shape	M2	{779.8000 10.0000} {780.2000 860.9840}	VSS			stripe		VSS
near_shape_5	3	PATH_19_3947	shape	M5	{776.9320 309.9880} {790.9720 310.0440}	n46363			detail_route		n46363
near_shape_5	4	PATH_11_6584	shape	M1	{780.5470 309.9860} {780.7900 310.0460}	n2966			detail_route		n2966
near_shape_5	5	PATH_15_84454	shape	M3	{777.2360 309.9880} {782.3080 310.0440}	n46362			detail_route		n46362
near_shape_5	6	PATH_13_97094	shape	M2	{780.2760 309.8360} {780.6360 309.8920}	n4111			detail_route		n4111
offgrid_error_6	0	5	drc_error		{713.2470 315.2350} {713.2970 315.4370}	NA	NA	NA	NA	NA	NA
drc_object_6	1	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]	net		{711.8490 315.2050} {721.8840 325.8280}						
near_cell_6	1	U80533	cell		{711.6370 315.9140} {713.0730 317.7170}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_6	2	U80534	cell		{712.7010 312.5700} {714.4510 314.3870}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_cell_6	3	U80535	cell		{714.6770 312.5700} {715.8190 314.3730}		NAND2X0_HVT	saed32hvt_tt.modified_lef/NAND2X0_HVT			
near_cell_6	4	U81061	cell		{711.7890 312.5700} {712.9310 314.3730}		NAND2X0_HVT	saed32hvt_tt.modified_lef/NAND2X0_HVT			
near_cell_6	5	U80552	cell		{714.7010 315.9140} {716.7070 317.7170}		AND3X4_HVT	saed32hvt_tt.modified_lef/AND3X4_HVT			
near_cell_6	6	ZBUF_190_inst_5500	cell		{711.3330 314.1710} {712.7790 315.9740}		NBUFFX2_HVT	saed32hvt_tt.modified_lef/NBUFFX2_HVT			
near_pin_6	1	U80531/A1	pin	M1 CO	{712.9130 315.1290} {713.0850 315.3130}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]					
near_pin_6	2	U80531/VSS	pin	M1 CO	{712.6640 315.5330} {714.6400 315.9740}	VSS					
near_shape_6	1	PATH_19_47570	shape	M5	{704.2760 315.4600} {722.2680 315.5160}	ZBUF_60_827			detail_route		ZBUF_60_827
near_shape_6	2	PATH_15_84236	shape	M3	{708.5320 315.1560} {715.2760 315.2120}	n46308			detail_route		n46308
near_shape_6	3	PATH_13_542699	shape	M2	{713.2440 315.3080} {713.3000 317.0360}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
near_via_6	1	VIA_SA_15726	via		{712.7610 315.2810} {713.0230 315.3910}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]			detail_route	VIA12SQ_C	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]
offgrid_error_7	0	6	drc_error		{713.8550 318.5790} {713.9050 318.7810}	NA	NA	NA	NA	NA	NA
drc_object_7	1	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]	net		{711.8490 315.2050} {721.8840 325.8280}						
near_cell_7	1	u_dmem_mem_reg_213__23_	cell		{711.7890 319.2580} {715.9710 321.0610}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_7	2	U80528	cell		{714.8290 317.5150} {716.2650 319.3180}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_7	3	U80533	cell		{711.6370 315.9140} {713.0730 317.7170}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_7	4	U80538	cell		{711.4850 317.5150} {713.2110 319.3180}		AND3X2_HVT	saed32hvt_tt.modified_lef/AND3X2_HVT			
near_cell_7	5	U80552	cell		{714.7010 315.9140} {716.7070 317.7170}		AND3X4_HVT	saed32hvt_tt.modified_lef/AND3X4_HVT			
near_pin_7	1	U80526/A1	pin	M1 CO	{713.5210 318.4730} {713.6930 318.6570}	n47724					
near_pin_7	2	U80526/VSS	pin	M1 CO	{713.2720 318.9010} {714.7920 319.3180}	VSS					
